"name","rating","category","cuisine","address","district","average_price"
"Com_Nieu_Sai_Gon_Xua","3.45","Bistro","Vietnam","Lo_11B_KDC_Happy_City,_Nguyen_Van_Linh,_Xa_Binh_Hung","Binh_Chanh","27,000 "
"Thanh_Nghiep_Bakery_-_Quoc_Lo_50","3.15","Bakery","Vietnam","A19/12_Quoc_Lo_50,_Xa_Binh_Hung","Binh_Chanh","204,500 "
"Hiktea_-_Duong_So_10","3.95","Cafe","Taiwan","38_Duong_So_10,_Xa_Binh_Hung","Binh_Chanh","25,000 "
"ABC_Bakery_-_Binh_Chanh","3.9","Bakery","Western","A_27/9_Quoc_Lo_50,_P._Binh_Hung","Binh_Chanh","32,500 "
"Xom_Tra_Sua","4.05","Cafe","Vietnam","D7/49_Trinh_Nhu_Khue,_Xa_Binh_Chanh","Binh_Chanh","20,000 "
"Cop_Cafe","3.25","Cafe","Vietnam","E11/9_Thoi_Hoa","Binh_Chanh","12,500 "
"Cau_Ca_Giai_Tri_Lang_Ta_-_Duong_So_11","4.1","Bistro","Vietnam","1A_Duong_So_11","Binh_Chanh","80,000 "
"Bo_La_Lot_Mo_Chai_-_Trung_Son","3.25","Street_food","Vietnam","Duong_So_4,_Xa_Binh_Hung","Binh_Chanh","20,000 "
"Food_Studio_-_Centre_Mall_Pham_Hung","3.25","Bistro","Japan","Lau_3_Centre_Mall,_C6/27_Pham_Hung","Binh_Chanh","10,000 "
"Tri_An_Bakery_&_Milktea","3.35","Bakery","Vietnam","1/27_Dinh_Duc_Thien,_Ap_4,_X._Tan_Quy_Tay","Binh_Chanh","195,000 "
"Banh_Canh_Phan_Thiet_-_Duong_So_4","3.6","Bistro","Vietnam","Duong_So_4","Binh_Chanh","30,000 "
"Peppa_Food_-_Giao_Com_Van_Phong","4.5","Bistro","Vietnam","Chung_Cu_The_Easter_City,_6B_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","15,000 "
"Kem_Xoi_Dua_Bu_Bu_-_Pham_Hung","4.3","Cafe","Vietnam","C4/36_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","15,000 "
"Cafe_Nguyen_Chat_10k","3.6","Cafe","Vietnam","22_Duong_So_5","Binh_Chanh","15,000 "
"The_Chapel_Coffee_-_Duong_So_1","4.2","Cafe","Vietnam","136_Duong_So_1","Binh_Chanh","30,000 "
"Quan_An_Leo's_House","4.05","Bistro","Vietnam","C1/31G_Pham_Hung","Binh_Chanh","30,000 "
"Banh_Cuon_Ngon_-_Duong_So_5","3.55","Street_food","Vietnam","81_Duong_So_5","Binh_Chanh","15,000 "
